team,date,elo
Czech Republic,2014-06-03,1586.7
Austria,2014-06-03,1571.7
Mexico,2014-06-03,1749.0
Bosnia and Herzegovina,2014-06-03,1677.6
Switzerland,2014-06-03,1668.2
Argentina,2014-06-04,1796.6
Ecuador,2014-06-04,1642.2
England,2014-06-04,1710.5
Ivory Coast,2014-06-04,1756.5
Egypt,2014-06-04,1710.7
Netherlands,2014-06-04,1779.6
Algeria,2014-06-04,1633.0
Uruguay,2014-06-04,1758.3
Brazil,2014-06-06,1925.7
Colombia,2014-06-06,1736.7
Jordan,2014-06-06,1607.5
Croatia,2014-06-06,1644.0
Australia,2014-06-06,1647.9
Germany,2014-06-06,1855.5
Japan,2014-06-06,1684.3
Mexico,2014-06-06,1738.8
Portugal,2014-06-06,1752.1
Morocco,2014-06-06,1504.8
Argentina,2014-06-07,1799.6
Belgium,2014-06-07,1715.1
Tunisia,2014-06-07,1619.8
Spain,2014-06-07,1896.3
England,2014-06-07,1707.8
United States,2014-06-07,1777.1
France,2014-06-08,1716.7
Iran,2014-06-08,1732.5
Ghana,2014-06-09,1719.3
South Korea,2014-06-09,1602.3
Portugal,2014-06-10,1760.8
Brazil,2014-06-12,1934.7
Croatia,2014-06-12,1635.0
Australia,2014-06-13,1611.9
Mexico,2014-06-13,1761.5
Spain,2014-06-13,1821.8
Netherlands,2014-06-13,1854.1
Colombia,2014-06-14,1779.9
England,2014-06-14,1676.8
Ivory Coast,2014-06-14,1780.3
Japan,2014-06-14,1660.4
Uruguay,2014-06-14,1699.5
Argentina,2014-06-15,1819.5
Bosnia and Herzegovina,2014-06-15,1657.7
France,2014-06-15,1754.4
Switzerland,2014-06-15,1696.0
Ecuador,2014-06-15,1614.4
Germany,2014-06-16,1896.8
Portugal,2014-06-16,1719.5
Ghana,2014-06-16,1694.2
United States,2014-06-16,1802.2
Iran,2014-06-16,1731.0
Belgium,2014-06-17,1738.2
Algeria,2014-06-17,1610.0
Brazil,2014-06-17,1915.0
Mexico,2014-06-17,1781.2
South Korea,2014-06-17,1609.6
Australia,2014-06-18,1600.0
Netherlands,2014-06-18,1866.0
Croatia,2014-06-18,1690.4
Spain,2014-06-18,1768.2
Colombia,2014-06-19,1809.9
Ivory Coast,2014-06-19,1750.3
Japan,2014-06-19,1657.9
Uruguay,2014-06-19,1727.6
England,2014-06-19,1648.7
Ecuador,2014-06-20,1641.3
Switzerland,2014-06-20,1652.2
France,2014-06-20,1798.2
Argentina,2014-06-21,1842.0
Iran,2014-06-21,1708.5
Germany,2014-06-21,1881.1
Ghana,2014-06-21,1710.0
Bosnia and Herzegovina,2014-06-21,1632.8
Belgium,2014-06-22,1763.4
South Korea,2014-06-22,1564.7
Algeria,2014-06-22,1654.9
United States,2014-06-22,1795.1
Portugal,2014-06-22,1726.5
Australia,2014-06-23,1571.1
Spain,2014-06-23,1797.1
Brazil,2014-06-23,1922.7
Croatia,2014-06-23,1656.9
Mexico,2014-06-23,1814.7
Netherlands,2014-06-23,1903.6
England,2014-06-24,1656.3
Ivory Coast,2014-06-24,1710.6
Uruguay,2014-06-24,1754.7
Japan,2014-06-24,1627.0
Colombia,2014-06-24,1840.8
Bosnia and Herzegovina,2014-06-25,1687.5
Iran,2014-06-25,1653.9
Ecuador,2014-06-25,1654.0
France,2014-06-25,1785.5
Switzerland,2014-06-25,1689.9
Argentina,2014-06-25,1863.6
Algeria,2014-06-26,1655.1
South Korea,2014-06-26,1550.2
Belgium,2014-06-26,1777.9
Portugal,2014-06-26,1755.1
Ghana,2014-06-26,1681.4
United States,2014-06-26,1772.4
Germany,2014-06-26,1903.8
Brazil,2014-06-28,1904.1
Colombia,2014-06-28,1874.9
Uruguay,2014-06-28,1720.7
Netherlands,2014-06-29,1926.1
Mexico,2014-06-29,1792.2
France,2014-06-30,1822.1
Germany,2014-06-30,1915.4
Algeria,2014-06-30,1643.5
Argentina,2014-07-01,1879.7
Switzerland,2014-07-01,1673.8
Belgium,2014-07-01,1807.4
United States,2014-07-01,1742.9
Brazil,2014-07-04,1923.4
Colombia,2014-07-04,1855.6
France,2014-07-04,1800.0
Germany,2014-07-04,1937.5
Argentina,2014-07-05,1903.6
Belgium,2014-07-05,1783.5
Netherlands,2014-07-05,1910.5
Brazil,2014-07-08,1844.2
Germany,2014-07-08,2016.7
Netherlands,2014-07-09,1909.9
Argentina,2014-07-09,1904.2
Brazil,2014-07-12,1786.6
Netherlands,2014-07-12,1967.6
Germany,2014-07-13,2037.3
Argentina,2014-07-13,1883.6
Qatar,2014-07-14,1573.0
Panama,2014-08-06,1632.8
Uzbekistan,2014-08-20,1654.0
Panama,2014-08-20,1639.7
Norway,2014-08-27,1465.9
Egypt,2014-08-30,1713.9
Czech Republic,2014-09-03,1578.3
United States,2014-09-03,1751.3
Turkey,2014-09-03,1611.6
England,2014-09-03,1659.5
Norway,2014-09-03,1462.7
Germany,2014-09-03,2013.0
Argentina,2014-09-03,1907.9
Morocco,2014-09-03,1503.9
Qatar,2014-09-03,1573.9
Curaçao,2014-09-03,1377.0
Belgium,2014-09-04,1787.8
Australia,2014-09-04,1566.9
Bosnia and Herzegovina,2014-09-04,1688.7
Croatia,2014-09-04,1658.5
France,2014-09-04,1807.1
Spain,2014-09-04,1790.0
Iraq,2014-09-04,1574.9
Netherlands,2014-09-04,1944.8
Sweden,2014-09-04,1630.9
Uzbekistan,2014-09-04,1663.0
Jordan,2014-09-04,1598.4
Curaçao,2014-09-05,1396.9
Japan,2014-09-05,1604.1
Uruguay,2014-09-05,1743.6
Brazil,2014-09-05,1798.5
Colombia,2014-09-05,1843.6
South Korea,2014-09-05,1559.7
Senegal,2014-09-05,1631.8
Egypt,2014-09-05,1682.8
South Africa,2014-09-05,1646.8
DR Congo,2014-09-06,1500.2
Algeria,2014-09-06,1659.5
Ghana,2014-09-06,1671.2
Ivory Coast,2014-09-06,1717.3
Mexico,2014-09-06,1792.1
Cape Verde,2014-09-06,1582.1
Tunisia,2014-09-06,1629.1
Panama,2014-09-07,1644.3
Curaçao,2014-09-07,1406.6
Germany,2014-09-07,2014.6
Scotland,2014-09-07,1560.7
Morocco,2014-09-07,1519.3
Paraguay,2014-09-07,1526.8
Portugal,2014-09-07,1718.3
France,2014-09-07,1804.0
Australia,2014-09-08,1575.0
Saudi Arabia,2014-09-08,1493.0
Austria,2014-09-08,1569.3
Sweden,2014-09-08,1633.2
South Korea,2014-09-08,1552.1
Uruguay,2014-09-08,1751.2
Spain,2014-09-08,1794.3
Switzerland,2014-09-08,1634.2
England,2014-09-08,1699.0
Uzbekistan,2014-09-08,1671.2
New Zealand,2014-09-08,1584.8
Bosnia and Herzegovina,2014-09-09,1650.5
Jordan,2014-09-09,1599.9
Croatia,2014-09-09,1661.8
Czech Republic,2014-09-09,1611.2
Netherlands,2014-09-09,1911.9
Haiti,2014-09-09,1550.8
Turkey,2014-09-09,1569.9
Japan,2014-09-09,1599.0
Mexico,2014-09-09,1794.4
Norway,2014-09-09,1443.3
Qatar,2014-09-09,1553.9
Algeria,2014-09-10,1670.1
Senegal,2014-09-10,1659.2
Ivory Coast,2014-09-10,1680.8
Cape Verde,2014-09-10,1597.1
DR Congo,2014-09-10,1523.8
Egypt,2014-09-10,1654.5
Tunisia,2014-09-10,1657.4
South Africa,2014-09-10,1641.4
Ghana,2014-09-10,1684.1
Qatar,2014-10-06,1572.2
Uzbekistan,2014-10-06,1652.8
Curaçao,2014-10-08,1416.6
Haiti,2014-10-08,1546.3
England,2014-10-09,1700.5
Austria,2014-10-09,1586.3
Morocco,2014-10-09,1527.0
Qatar,2014-10-09,1582.6
Spain,2014-10-09,1766.6
Switzerland,2014-10-09,1611.6
Sweden,2014-10-09,1629.4
Belgium,2014-10-10,1789.0
Egypt,2014-10-10,1678.3
Croatia,2014-10-10,1678.6
Japan,2014-10-10,1603.9
Jordan,2014-10-10,1585.7
South Korea,2014-10-10,1561.9
Paraguay,2014-10-10,1516.9
Norway,2014-10-10,1470.0
Netherlands,2014-10-10,1913.4
Saudi Arabia,2014-10-10,1497.3
Uruguay,2014-10-10,1747.0
Senegal,2014-10-10,1653.5
Tunisia,2014-10-10,1663.1
Curaçao,2014-10-10,1398.8
Turkey,2014-10-10,1546.5
Czech Republic,2014-10-10,1634.5
Australia,2014-10-10,1580.6
Uzbekistan,2014-10-10,1649.6
Bosnia and Herzegovina,2014-10-10,1644.5
Iraq,2014-10-10,1567.9
Argentina,2014-10-11,1878.5
Brazil,2014-10-11,1827.9
South Africa,2014-10-11,1672.2
DR Congo,2014-10-11,1507.1
Ivory Coast,2014-10-11,1697.6
France,2014-10-11,1809.1
Portugal,2014-10-11,1713.2
Ghana,2014-10-11,1678.7
Algeria,2014-10-11,1689.5
Cape Verde,2014-10-11,1565.7
Germany,2014-10-11,1961.2
Scotland,2014-10-11,1569.2
Austria,2014-10-12,1595.7
England,2014-10-12,1710.4
Curaçao,2014-10-12,1432.1
Haiti,2014-10-12,1538.1
Spain,2014-10-12,1773.6
Mexico,2014-10-12,1798.3
Panama,2014-10-12,1640.5
Sweden,2014-10-12,1632.5
Bosnia and Herzegovina,2014-10-13,1647.1
Belgium,2014-10-13,1786.4
Croatia,2014-10-13,1687.7
Netherlands,2014-10-13,1862.8
Jordan,2014-10-13,1582.2
Czech Republic,2014-10-13,1651.1
Turkey,2014-10-13,1541.7
Morocco,2014-10-13,1539.4
Norway,2014-10-13,1485.4
Uruguay,2014-10-13,1762.0
France,2014-10-14,1816.6
Iraq,2014-10-14,1569.9
Paraguay,2014-10-14,1510.7
Portugal,2014-10-14,1730.9
Germany,2014-10-14,1943.7
Argentina,2014-10-14,1882.6
Japan,2014-10-14,1595.8
Brazil,2014-10-14,1836.0
South Korea,2014-10-14,1550.8
Scotland,2014-10-14,1576.7
Qatar,2014-10-14,1589.8
Australia,2014-10-14,1573.4
Switzerland,2014-10-14,1618.3
Saudi Arabia,2014-10-14,1494.0
Uzbekistan,2014-10-14,1675.4
United States,2014-10-14,1743.8
Algeria,2014-10-15,1697.0
Cape Verde,2014-10-15,1577.4
Egypt,2014-10-15,1686.5
Ghana,2014-10-15,1693.9
Ivory Coast,2014-10-15,1663.9
DR Congo,2014-10-15,1540.8
South Africa,2014-10-15,1659.8
Tunisia,2014-10-15,1677.0
Senegal,2014-10-15,1639.6
Ivory Coast,2014-10-25,1664.5
Qatar,2014-11-06,1602.9
Saudi Arabia,2014-11-06,1510.3
Curaçao,2014-11-11,1424.8
Argentina,2014-11-12,1887.5
Croatia,2014-11-12,1682.8
Belgium,2014-11-12,1790.6
Haiti,2014-11-12,1535.3
Netherlands,2014-11-12,1848.4
Mexico,2014-11-12,1812.7
Norway,2014-11-12,1470.5
Turkey,2014-11-12,1532.4
Brazil,2014-11-12,1845.2
Curaçao,2014-11-13,1411.6
Morocco,2014-11-13,1550.4
Saudi Arabia,2014-11-13,1510.0
Qatar,2014-11-13,1603.3
Uruguay,2014-11-13,1759.3
Tunisia,2014-11-14,1670.0
New Zealand,2014-11-14,1586.9
France,2014-11-14,1808.5
Germany,2014-11-14,1945.6
Iraq,2014-11-14,1554.8
Ivory Coast,2014-11-14,1678.0
Japan,2014-11-14,1607.2
Jordan,2014-11-14,1568.6
South Korea,2014-11-14,1564.4
Haiti,2014-11-14,1565.5
Paraguay,2014-11-14,1519.7
Portugal,2014-11-14,1735.5
Scotland,2014-11-14,1592.8
United States,2014-11-14,1736.6
Colombia,2014-11-14,1850.8
Algeria,2014-11-15,1703.8
Austria,2014-11-15,1613.3
DR Congo,2014-11-15,1531.2
Cape Verde,2014-11-15,1587.4
Egypt,2014-11-15,1658.6
Senegal,2014-11-15,1667.6
England,2014-11-15,1721.0
Curaçao,2014-11-15,1395.3
Sweden,2014-11-15,1629.1
South Africa,2014-11-15,1665.2
Spain,2014-11-15,1779.3
Switzerland,2014-11-15,1628.4
Ghana,2014-11-15,1672.7
Norway,2014-11-16,1492.2
Belgium,2014-11-16,1773.7
Czech Republic,2014-11-16,1661.4
Bosnia and Herzegovina,2014-11-16,1611.2
Croatia,2014-11-16,1690.2
Morocco,2014-11-16,1556.1
Netherlands,2014-11-16,1851.2
Saudi Arabia,2014-11-16,1530.5
Turkey,2014-11-16,1542.3
Qatar,2014-11-16,1592.6
Iraq,2014-11-17,1556.3
Austria,2014-11-18,1606.9
Brazil,2014-11-18,1851.6
Mexico,2014-11-18,1796.2
Uruguay,2014-11-18,1773.1
Haiti,2014-11-18,1576.9
Jordan,2014-11-18,1556.7
France,2014-11-18,1811.8
Sweden,2014-11-18,1625.8
Iran,2014-11-18,1658.9
South Korea,2014-11-18,1559.4
United States,2014-11-18,1716.9
Japan,2014-11-18,1613.5
Australia,2014-11-18,1567.1
Panama,2014-11-18,1634.0
Canada,2014-11-18,1477.6
Paraguay,2014-11-18,1513.6
Switzerland,2014-11-18,1631.3
Portugal,2014-11-18,1749.6
Argentina,2014-11-18,1873.4
Scotland,2014-11-18,1579.0
England,2014-11-18,1734.8
Colombia,2014-11-18,1855.2
Spain,2014-11-18,1771.2
Germany,2014-11-18,1953.7
New Zealand,2014-11-18,1568.6
Qatar,2014-11-19,1589.1
DR Congo,2014-11-19,1549.4
Ghana,2014-11-19,1680.7
Ivory Coast,2014-11-19,1671.0
Algeria,2014-11-19,1667.7
South Africa,2014-11-19,1670.9
Saudi Arabia,2014-11-19,1534.5
Senegal,2014-11-19,1677.7
Tunisia,2014-11-19,1683.8
Egypt,2014-11-19,1644.8
Cape Verde,2014-11-19,1574.0
Iraq,2014-11-20,1540.4
Qatar,2014-11-23,1613.5
Saudi Arabia,2014-11-23,1551.2
Saudi Arabia,2014-11-26,1534.6
Qatar,2014-11-26,1630.1
South Africa,2014-11-30,1681.7
Ivory Coast,2014-11-30,1660.2
Uzbekistan,2014-12-13,1683.8
Uzbekistan,2014-12-21,1690.3
Jordan,2014-12-21,1550.2
Iraq,2014-12-22,1540.8
Uzbekistan,2014-12-25,1696.3
Iraq,2014-12-25,1534.9
Qatar,2014-12-27,1635.0
Uzbekistan,2014-12-28,1691.9
Iraq,2014-12-28,1539.2
Saudi Arabia,2014-12-30,1516.1
Jordan,2014-12-30,1543.6
Qatar,2014-12-31,1633.5
Jordan,2015-01-04,1533.3
Iran,2015-01-04,1665.6
Iraq,2015-01-04,1532.6
South Korea,2015-01-04,1572.5
Saudi Arabia,2015-01-04,1503.0
South Africa,2015-01-04,1687.4
DR Congo,2015-01-07,1554.7
Australia,2015-01-09,1597.4
Senegal,2015-01-09,1684.1
South Africa,2015-01-10,1686.4
Cape Verde,2015-01-10,1582.6
South Korea,2015-01-10,1596.9
Saudi Arabia,2015-01-10,1482.9
Uzbekistan,2015-01-10,1714.0
Iran,2015-01-11,1690.5
Ivory Coast,2015-01-11,1670.2
Tunisia,2015-01-11,1680.6
Algeria,2015-01-11,1670.9
Qatar,2015-01-11,1595.4
Japan,2015-01-12,1660.4
Jordan,2015-01-12,1508.2
Iraq,2015-01-12,1557.6
Australia,2015-01-13,1624.3
South Korea,2015-01-13,1616.9
Senegal,2015-01-13,1699.5
Uzbekistan,2015-01-14,1680.6
Saudi Arabia,2015-01-14,1544.0
South Africa,2015-01-14,1698.1
Qatar,2015-01-15,1577.0
Iran,2015-01-15,1708.8
Sweden,2015-01-15,1642.7
Ivory Coast,2015-01-15,1653.3
Canada,2015-01-16,1469.8
Iraq,2015-01-16,1539.8
Japan,2015-01-16,1678.2
Jordan,2015-01-16,1562.9
Australia,2015-01-17,1591.8
South Korea,2015-01-17,1649.4
Tunisia,2015-01-18,1673.7
Cape Verde,2015-01-18,1589.5
Uzbekistan,2015-01-18,1704.0
Saudi Arabia,2015-01-18,1520.5
DR Congo,2015-01-18,1559.0
Algeria,2015-01-19,1711.3
South Africa,2015-01-19,1657.7
Canada,2015-01-19,1472.5
Sweden,2015-01-19,1629.4
Ghana,2015-01-19,1657.1
Senegal,2015-01-19,1723.1
Iran,2015-01-19,1735.2
Qatar,2015-01-19,1547.1
Iraq,2015-01-20,1574.3
Ivory Coast,2015-01-20,1651.3
Japan,2015-01-20,1703.7
Jordan,2015-01-20,1537.4
Australia,2015-01-22,1624.4
Cape Verde,2015-01-22,1587.3
DR Congo,2015-01-22,1561.2
South Korea,2015-01-22,1692.7
Uzbekistan,2015-01-22,1660.7
Tunisia,2015-01-22,1694.2
Ghana,2015-01-23,1685.9
Algeria,2015-01-23,1682.5
Iran,2015-01-23,1724.4
Iraq,2015-01-23,1585.1
Japan,2015-01-23,1703.6
South Africa,2015-01-23,1662.3
Senegal,2015-01-23,1718.5
Ivory Coast,2015-01-24,1645.1
Cape Verde,2015-01-26,1587.4
DR Congo,2015-01-26,1570.3
Tunisia,2015-01-26,1685.0
South Korea,2015-01-26,1719.0
Iraq,2015-01-26,1558.9
Australia,2015-01-27,1659.5
Senegal,2015-01-27,1677.1
Algeria,2015-01-27,1723.8
South Africa,2015-01-27,1639.0
Ghana,2015-01-27,1709.2
Ivory Coast,2015-01-28,1670.1
United States,2015-01-28,1711.3
Curaçao,2015-01-30,1396.1
Iraq,2015-01-30,1541.4
Australia,2015-01-31,1681.6
South Korea,2015-01-31,1696.9
DR Congo,2015-01-31,1608.1
Tunisia,2015-01-31,1652.3
Curaçao,2015-02-01,1423.4
Ghana,2015-02-01,1742.6
Ivory Coast,2015-02-01,1713.4
Algeria,2015-02-01,1680.6
DR Congo,2015-02-04,1581.7
Ivory Coast,2015-02-04,1739.8
Ghana,2015-02-05,1770.1
DR Congo,2015-02-07,1581.5
Ivory Coast,2015-02-08,1742.0
Ghana,2015-02-08,1767.9
United States,2015-02-08,1719.3
Panama,2015-02-08,1626.0
United States,2015-03-25,1708.3
Germany,2015-03-25,1945.8
Australia,2015-03-25,1689.5
Scotland,2015-03-25,1582.6
South Africa,2015-03-25,1644.7
Colombia,2015-03-26,1864.6
Iran,2015-03-26,1742.2
Egypt,2015-03-26,1650.1
France,2015-03-26,1794.3
Brazil,2015-03-26,1869.2
Ivory Coast,2015-03-26,1745.8
Jordan,2015-03-26,1523.7
Qatar,2015-03-26,1558.0
Algeria,2015-03-26,1669.6
Canada,2015-03-27,1484.3
Haiti,2015-03-27,1580.7
Curaçao,2015-03-27,1436.0
England,2015-03-27,1740.3
Japan,2015-03-27,1716.9
Tunisia,2015-03-27,1639.1
South Korea,2015-03-27,1693.1
Uzbekistan,2015-03-27,1664.4
Austria,2015-03-27,1622.1
Sweden,2015-03-27,1647.2
Spain,2015-03-27,1780.6
Switzerland,2015-03-27,1640.8
Panama,2015-03-27,1639.5
Argentina,2015-03-28,1877.7
Bosnia and Herzegovina,2015-03-28,1617.7
Belgium,2015-03-28,1776.4
Croatia,2015-03-28,1701.6
Norway,2015-03-28,1480.8
Czech Republic,2015-03-28,1645.1
Ghana,2015-03-28,1755.3
Senegal,2015-03-28,1689.7
Iraq,2015-03-28,1552.6
DR Congo,2015-03-28,1570.4
Morocco,2015-03-28,1549.4
Uruguay,2015-03-28,1779.9
Netherlands,2015-03-28,1834.7
Turkey,2015-03-28,1558.8
Brazil,2015-03-29,1876.5
France,2015-03-29,1798.8
Germany,2015-03-29,1950.9
Ivory Coast,2015-03-29,1737.9
Portugal,2015-03-29,1755.0
Scotland,2015-03-29,1596.2
South Africa,2015-03-29,1641.8
Colombia,2015-03-30,1867.6
Australia,2015-03-30,1683.7
Algeria,2015-03-30,1681.2
Qatar,2015-03-30,1564.5
Saudi Arabia,2015-03-30,1527.8
Jordan,2015-03-30,1516.4
Argentina,2015-03-31,1882.0
Ecuador,2015-03-31,1649.7
Austria,2015-03-31,1619.2
Bosnia and Herzegovina,2015-03-31,1620.6
Tunisia,2015-03-31,1641.1
Ghana,2015-03-31,1750.3
Iraq,2015-03-31,1563.1
DR Congo,2015-03-31,1559.8
Belgium,2015-03-31,1788.0
England,2015-03-31,1742.1
Japan,2015-03-31,1727.9
Uzbekistan,2015-03-31,1653.4
South Korea,2015-03-31,1697.5
New Zealand,2015-03-31,1564.3
Turkey,2015-03-31,1563.5
Curaçao,2015-03-31,1438.4
Netherlands,2015-03-31,1843.5
Spain,2015-03-31,1771.8
Panama,2015-03-31,1650.3
Portugal,2015-03-31,1730.3
Cape Verde,2015-03-31,1612.1
Czech Republic,2015-03-31,1637.8
Sweden,2015-03-31,1661.9
Iran,2015-03-31,1727.4
Switzerland,2015-03-31,1639.8
United States,2015-03-31,1709.2
United States,2015-04-15,1723.6
Mexico,2015-04-15,1781.8
South Africa,2015-05-14,1637.3
South Africa,2015-05-16,1633.0
South Africa,2015-05-24,1622.5
Ghana,2015-05-25,1723.8
South Africa,2015-05-27,1612.8
Ghana,2015-05-27,1688.4
Jordan,2015-05-30,1512.6
Mexico,2015-05-30,1785.7
Qatar,2015-05-31,1560.9
Panama,2015-06-03,1647.5
Ecuador,2015-06-03,1652.5
Mexico,2015-06-03,1782.2
Curaçao,2015-06-05,1451.2
Jordan,2015-06-05,1511.6
Netherlands,2015-06-05,1827.9
United States,2015-06-05,1739.2
Scotland,2015-06-05,1602.5
Qatar,2015-06-05,1554.6
Argentina,2015-06-06,1883.7
Colombia,2015-06-06,1874.6
Ecuador,2015-06-06,1665.8
Panama,2015-06-06,1634.3
Paraguay,2015-06-06,1511.4
Uruguay,2015-06-06,1784.1
Brazil,2015-06-07,1883.8
Mexico,2015-06-07,1774.9
Croatia,2015-06-07,1704.9
France,2015-06-07,1785.7
Belgium,2015-06-07,1801.1
England,2015-06-07,1741.1
Egypt,2015-06-08,1653.7
Ghana,2015-06-08,1690.8
Norway,2015-06-08,1483.1
Sweden,2015-06-08,1659.6
Turkey,2015-06-08,1572.6
DR Congo,2015-06-09,1562.2
Brazil,2015-06-10,1885.3
Curaçao,2015-06-10,1447.4
Germany,2015-06-10,1933.8
United States,2015-06-10,1756.4
Switzerland,2015-06-10,1641.8
Ecuador,2015-06-11,1647.7
Japan,2015-06-11,1737.9
Iraq,2015-06-11,1553.0
South Korea,2015-06-11,1714.3
Qatar,2015-06-11,1572.7
Saudi Arabia,2015-06-11,1539.7
Spain,2015-06-11,1778.5
Jordan,2015-06-11,1550.0
Uzbekistan,2015-06-11,1642.6
Iran,2015-06-11,1738.1
Canada,2015-06-11,1510.8
Bosnia and Herzegovina,2015-06-12,1634.3
Croatia,2015-06-12,1699.2
Czech Republic,2015-06-12,1620.4
Turkey,2015-06-12,1584.8
Netherlands,2015-06-12,1835.2
Mexico,2015-06-12,1756.3
Morocco,2015-06-12,1563.6
Norway,2015-06-12,1472.6
Belgium,2015-06-12,1771.7
Tunisia,2015-06-12,1650.5
France,2015-06-13,1771.8
Algeria,2015-06-13,1686.2
Argentina,2015-06-13,1864.0
Paraguay,2015-06-13,1531.2
Portugal,2015-06-13,1741.2
Cape Verde,2015-06-13,1624.8
Germany,2015-06-13,1937.6
Scotland,2015-06-13,1608.4
Senegal,2015-06-13,1698.8
South Africa,2015-06-13,1598.8
Uruguay,2015-06-13,1792.7
Spain,2015-06-14,1788.1
Brazil,2015-06-14,1892.1
Colombia,2015-06-14,1830.5
DR Congo,2015-06-14,1570.6
Curaçao,2015-06-14,1455.0
Egypt,2015-06-14,1661.3
Ivory Coast,2015-06-14,1734.6
Ghana,2015-06-14,1696.4
Switzerland,2015-06-14,1652.3
Austria,2015-06-14,1646.1
England,2015-06-14,1754.7
Sweden,2015-06-14,1669.3
Mexico,2015-06-15,1765.1
Ecuador,2015-06-15,1610.5
Argentina,2015-06-16,1883.9
Uruguay,2015-06-16,1772.8
South Korea,2015-06-16,1724.2
Portugal,2015-06-16,1750.2
Japan,2015-06-16,1721.5
Jordan,2015-06-16,1566.3
Uzbekistan,2015-06-16,1615.4
Australia,2015-06-16,1694.5
Paraguay,2015-06-16,1554.3
South Africa,2015-06-16,1604.1
Iran,2015-06-16,1732.3
Canada,2015-06-16,1522.5
Brazil,2015-06-17,1862.7
Colombia,2015-06-17,1859.9
Mexico,2015-06-19,1729.6
Ecuador,2015-06-19,1645.9
Argentina,2015-06-20,1888.4
Uruguay,2015-06-20,1758.9
Paraguay,2015-06-20,1568.2
Brazil,2015-06-21,1869.6
Colombia,2015-06-21,1843.4
Uruguay,2015-06-24,1742.5
Argentina,2015-06-26,1885.2
Colombia,2015-06-26,1846.6
Brazil,2015-06-27,1852.1
Paraguay,2015-06-27,1585.7
Mexico,2015-06-27,1730.0
Argentina,2015-06-30,1900.3
Paraguay,2015-06-30,1570.6
Mexico,2015-07-01,1725.0
Paraguay,2015-07-03,1538.1
Argentina,2015-07-04,1901.0
Panama,2015-07-07,1630.4
Haiti,2015-07-07,1584.5
United States,2015-07-07,1763.4
Canada,2015-07-08,1526.2
Mexico,2015-07-09,1745.8
Panama,2015-07-10,1623.7
United States,2015-07-10,1771.8
Haiti,2015-07-10,1576.1
Canada,2015-07-11,1498.8
Mexico,2015-07-12,1731.4
Haiti,2015-07-13,1598.6
United States,2015-07-13,1756.4
Panama,2015-07-13,1639.0
Canada,2015-07-14,1507.0
Mexico,2015-07-15,1726.4
Haiti,2015-07-18,1570.1
United States,2015-07-18,1766.9
Mexico,2015-07-19,1750.1
Panama,2015-07-19,1640.9
Panama,2015-07-22,1623.5
Mexico,2015-07-22,1767.5
United States,2015-07-22,1724.8
United States,2015-07-25,1711.8
Panama,2015-07-25,1636.6
Mexico,2015-07-26,1790.0
South Korea,2015-08-02,1747.0
Japan,2015-08-02,1701.6
Japan,2015-08-05,1703.5
South Korea,2015-08-05,1745.0
Japan,2015-08-09,1704.3
South Korea,2015-08-09,1739.3
Iraq,2015-08-26,1563.9
Qatar,2015-08-28,1580.9
Ghana,2015-09-01,1704.5
Australia,2015-09-03,1701.3
Croatia,2015-09-03,1688.5
Belgium,2015-09-03,1783.9
Bosnia and Herzegovina,2015-09-03,1622.1
Norway,2015-09-03,1498.1
Czech Republic,2015-09-03,1624.0
Iran,2015-09-03,1739.6
Iraq,2015-09-03,1581.0
Japan,2015-09-03,1707.6
Jordan,2015-09-03,1553.3
South Korea,2015-09-03,1743.5
Netherlands,2015-09-03,1800.3
Qatar,2015-09-03,1592.3
Saudi Arabia,2015-09-03,1550.9
Turkey,2015-09-03,1570.7
Uzbekistan,2015-09-03,1618.9
Curaçao,2015-09-04,1434.9
Scotland,2015-09-04,1583.1
Germany,2015-09-04,1943.1
Haiti,2015-09-04,1593.1
Portugal,2015-09-04,1738.0
France,2015-09-04,1784.0
Canada,2015-09-04,1528.9
United States,2015-09-04,1717.4
Argentina,2015-09-05,1904.3
Austria,2015-09-05,1650.0
Paraguay,2015-09-05,1535.9
Brazil,2015-09-05,1857.6
Tunisia,2015-09-05,1623.0
South Africa,2015-09-05,1568.2
Senegal,2015-09-05,1720.7
Sweden,2015-09-05,1652.0
Ghana,2015-09-05,1719.7
England,2015-09-05,1758.0
Morocco,2015-09-05,1592.0
Spain,2015-09-05,1800.4
Switzerland,2015-09-05,1660.3
Bosnia and Herzegovina,2015-09-06,1623.8
DR Congo,2015-09-06,1531.4
Belgium,2015-09-06,1787.9
Czech Republic,2015-09-06,1636.8
Algeria,2015-09-06,1698.2
Cape Verde,2015-09-06,1639.9
Norway,2015-09-06,1535.7
Croatia,2015-09-06,1650.8
Ivory Coast,2015-09-06,1721.1
Turkey,2015-09-06,1618.2
Netherlands,2015-09-06,1752.8
Portugal,2015-09-07,1753.9
New Zealand,2015-09-07,1562.0
France,2015-09-07,1786.4
Scotland,2015-09-07,1575.7
Germany,2015-09-07,1950.4
United States,2015-09-08,1702.0
Brazil,2015-09-08,1873.1
Japan,2015-09-08,1728.8
Jordan,2015-09-08,1582.7
Ecuador,2015-09-08,1653.0
Curaçao,2015-09-08,1426.7
England,2015-09-08,1772.6
Switzerland,2015-09-08,1645.8
Qatar,2015-09-08,1609.4
Iran,2015-09-08,1754.2
South Korea,2015-09-08,1762.3
